Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,BGM,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,RapNet Price,RapNet Discount %,Cash Price,Cash Price Discount %,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Report File name,Report 2 File name,Sarine Loupe,WebsiteLink,Image 1,Image 2,Image 3,Image 4,Image 5,VideoURL 1,VideoURL 2,VideoURL 3,VideoURL 4,VideoURL 5,Document 1,Document 2,Document 3,Document 1 Type,Document 2 Type,Document 3 Type,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones
A6800101,M,Princess,1,L,SI2,VG,VG,G,None,,6.53 x 6.43 x 5.07,,,GIA,,,,,,,,78.8,69,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800102,M,Princess,2,L,SI3,VG,VG,G,None,,6.53 x 6.43 x 5.08,,,GIA,,,,,,,,79.8,70,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800103,M,Princess,3,L,SI4,VG,VG,G,None,,6.53 x 6.43 x 5.09,,,GIA,,,,,,,,80.8,71,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800104,M,Princess,4,L,SI5,VG,VG,G,None,,6.53 x 6.43 x 5.10,,,GIA,,,,,,,,81.8,72,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800105,M,Princess,5,L,SI6,VG,VG,G,None,,6.53 x 6.43 x 5.11,,,GIA,,,,,,,,82.8,73,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800106,M,Princess,6,L,SI7,VG,VG,G,None,,6.53 x 6.43 x 5.12,,,GIA,,,,,,,,83.8,74,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800107,M,Princess,7,L,SI8,VG,VG,G,None,,6.53 x 6.43 x 5.13,,,GIA,,,,,,,,84.8,75,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800108,M,Princess,8,L,SI9,VG,VG,G,None,,6.53 x 6.43 x 5.14,,,GIA,,,,,,,,85.8,76,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800109,M,Princess,9,L,SI10,VG,VG,G,None,,6.53 x 6.43 x 5.15,,,GIA,,,,,,,,86.8,77,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
A6800110,M,Princess,10,L,SI11,VG,VG,G,None,,6.53 x 6.43 x 5.16,,,GIA,,,,,,,,87.8,78,,,,,,,,,,,,,,,,,,,,,,,,Israel,ISR,Ramat Gan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
